epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,7429.48,1.05245,0.49364,0.99785,0.99936,0.99994,0.995,0.83489,0.75032,0.28753,0.88368,0.005743,0.005743,0.005743
44,338.332,1.04935,0.48968,0.9972,0.99938,1,0.995,0.83618,0.74682,0.28658,0.88285,0.005743,0.005743,0.005743
45,673.011,1.04876,0.492,0.99932,0.99938,1,0.995,0.83553,0.7478,0.28636,0.883,0.005644,0.005644,0.005644
46,1009.55,1.04933,0.49289,0.99713,0.99938,1,0.995,0.8355,0.74792,0.28631,0.88299,0.005545,0.005545,0.005545
47,1353.37,1.04906,0.49101,0.99608,0.99938,1,0.995,0.83568,0.74776,0.28615,0.88288,0.005446,0.005446,0.005446
48,1694.1,1.04547,0.48995,0.99541,0.99939,1,0.995,0.83573,0.74744,0.286,0.88285,0.005347,0.005347,0.005347
49,2036.1,1.04473,0.4889,0.99526,0.99938,1,0.995,0.83588,0.74713,0.28565,0.88254,0.005248,0.005248,0.005248
50,2369.65,1.04112,0.48591,0.9952,0.99937,1,0.995,0.83611,0.7468,0.28552,0.88234,0.005149,0.005149,0.005149
51,2706.29,1.03546,0.48162,0.99422,0.99936,1,0.995,0.83601,0.74732,0.28571,0.8825,0.00505,0.00505,0.00505
52,3040.53,1.038,0.4827,0.99165,0.99934,1,0.995,0.83569,0.74719,0.28543,0.88235,0.004951,0.004951,0.004951
53,3373.73,1.03421,0.47958,0.9898,0.99934,1,0.995,0.83606,0.74708,0.28536,0.88215,0.004852,0.004852,0.004852
54,3705.9,1.03392,0.47777,0.98914,0.99935,1,0.995,0.83661,0.74637,0.28498,0.88199,0.004753,0.004753,0.004753
55,4039.45,1.03274,0.47765,0.98935,0.99934,1,0.995,0.8366,0.74597,0.28504,0.88183,0.004654,0.004654,0.004654
56,4372.47,1.02971,0.47396,0.98935,0.99937,1,0.995,0.83685,0.74538,0.28475,0.88168,0.004555,0.004555,0.004555
57,4706.06,1.03233,0.47567,0.9868,0.99937,1,0.995,0.83642,0.74589,0.28438,0.88175,0.004456,0.004456,0.004456
58,5037.01,1.02852,0.47199,0.98648,0.99936,1,0.995,0.83663,0.74503,0.28417,0.8815,0.004357,0.004357,0.004357
59,5370.6,1.02564,0.47176,0.98668,0.99936,1,0.995,0.83669,0.744,0.28388,0.88117,0.004258,0.004258,0.004258
60,5702.86,1.02869,0.47305,0.98788,0.99936,1,0.995,0.83718,0.74309,0.28365,0.88087,0.004159,0.004159,0.004159
61,6034.74,1.02356,0.46958,0.98632,0.99937,1,0.995,0.83701,0.7429,0.28354,0.88071,0.00406,0.00406,0.00406
62,6367.01,1.02301,0.46887,0.98526,0.99936,1,0.995,0.83723,0.74259,0.28352,0.88056,0.003961,0.003961,0.003961
63,6700.44,1.02078,0.46675,0.98333,0.99938,1,0.995,0.83764,0.7423,0.28318,0.88031,0.003862,0.003862,0.003862
64,7032.37,1.023,0.46577,0.98511,0.99938,1,0.995,0.83763,0.74281,0.28321,0.88028,0.003763,0.003763,0.003763
65,7367.71,1.0173,0.46233,0.98324,0.99938,1,0.995,0.83777,0.74258,0.28304,0.88008,0.003664,0.003664,0.003664
